text,sentiment
utterly disappointed awesome,2
awesome good sound suitable for new wagnor 2019 clarity of songs good,2
up.....i nEEd coFFee. b0ut2get ready2start this new day in my lie,1
"OMG, it`s JULY`S LAST DAY!",1
delightful same as a pic but small size,1
very good this football is one of the best football in this price range it is value for money,2
 I`m sorryyyyyy  I`ll be home as fast as possible where we meeting at?,0
 and now I have to shut computer down and get ready to go home from work....what a bummer.,0
is at school. its her last day. of high school. ever. ever. ever.,1
not recommended at all very poor quality flipkart cheated its dustomer,0
mind-blowing purchase good material will be reached bellow expected date,2
does the job size of pillow is smaller what is mentioned,1
brilliant good product but remote range is not too good even battery charge drops quickly,0
wonderful lakme is known for quality products go and get one for you,2
terrible product bad smell,0
must buy! quality is good jars are wells and fine granding,2
Off to work,1
not good cheap quality it is not a fast charger,0
mind-blowing purchase good looking good quality very useful for my baby she like it so much,2
is about to go buy his mother a mother`s day gift,1
"Watching NHL playoff Game1 tomorrow night if anyone is interested, and I know that none of you are.",0
I feel I owe it to  to listen to her new albums (everything released after `Chains`) since she was nice to me on Twitter!!,2
good worst product dont buy,0
not specified v good,2
did not meet expectations there is no liquid in bottle where we need to put swab waste of money,0
 you`re back?,1
Please don`t forget us,0
 i dont really know..i saw it on the gadget show about something thatmakes messages easier to find or something thank you,1
highly recommended very nice,2
worth the money good,2
just okay looking goodbut small piece,1
 Oh I`m on a roll now with these oldies!  ? http://blip.fm/~5jeu7,1
pretty good nice,2
super! awesome product works fine and smooth thanks flipkart for quick delivery as well,2
 uh oh u gonna fire somebody??,1
must buy! very good,2
   G`night!,1
"_fred6 Awww... :/ I guess that`s both good and bad, moving is not an option I guess?  Mhm, so are you, hehe ;) (we have same time?)",1
good quality product nice,2
can`t chat with  since i have to go to school now  http://tinyurl.com/mf88dz,1
not specified superb quality,2
perfect product! plus drawing book,2
bad quality littel bit defective on from front side,0
awesome good nice packing,2
not specified poor quality size issue cheating this product,0
defective item sent a defective cartridge was sent now i am stuck in a long process of availing warranty services from hp,0
just wow! the product is good worth buying,2
I feel actual heartbreak.. _Gates last night  x,0
terrible product worst product ever which i had seen from flipkart,0
 ooops! the last link is the same as the first! sry my mistake,0
terrific thanks flifits to good,2
brilliant superb quality i purchase it for my lovely niece meenal as rakhi gift i hope she will very happy,2
utterly disappointed very bad product,0
highly recommended this id 5 star product,2
useless product it takes 2 hours to charge my f23 mobileand can not return it loss of money,0
fabulous! good,2
excellent the product compared to others in its category is cheaper but performance wise its very good very simple controls easy to use and washed clothes are quite dry nothing to complain about,2
fair ok,1
Lovin  the clean shaven Mr Flowers!  He looks so young!!!  Reminds me that I`m getting old,2
waste of money! worst product i have ever received and its taking more time than 1000w heater please dont buy,0
got an A in english again  yay..  but a D- in maths,1
worth every penny best for always,2
did not meet expectations ink is very less only 20 pages print taken hence it too costly to purchase it is cheated by seller i will not recommended to other customers,0
awesome excellent product and fast delivery by flipkart found very good and offer provided was a very good deal for beginners already 1 month over and all working in good way original product,2
"Schoool needs to end, Work tonight 4 to 8  hittt me up after <3",1
super! just awesomeexcept the open wires with no socket plug,0
very poor worst product,0
 if i had a car,1
not specified colour fade,1
super! the item is pretty good go for it,2
moderate gets heated just for 2 mins of grinding,0
  tee we beefin....what was u supposed to do before leavin????,1
good choice not water resistant,0
 nah is next week honey ma fault for confusin u,0
terrible product poor quality material used this is not wood also bad material,0
"I don`t want to lose my wisdom teeth, they make me wise. I will soon be without a trace of wisdom",0
brilliant good installation and demo mr pranav pawar jeeves tech,2
great product very good product,2
pretty good good product thank you flip card good delivery but replacement pickup courier boye bihebiyar not good,2
highly recommended very nice and useful,2
"Oh Top Gear (UK), how I love thee",2
awesome fabulous,2
   I`ve always been a ppl person just hid behind bad self confidence for 2 long  u can do anything!,1
"I can`t have any pets in the appartment I really want, so no rat yet.",0
could be way better money wasted,0
nice product good quality,2
moderate it is very small in size as compared to given photo,1
good ok,1
perfect product! have one or two very small negligible issues otherwise product is very good completely cools the room,2
is at the farm doing what i do best...RIDING MY **** OFF!!!...get at me,1
"hungry, but don`t have an appetite",0
decent product ok,1
http://bit.ly/147HEU  - don`t judge me. tucking myself in tonight  mogwai on repeat,1
awesome okay,1
classy product good product,2
very poor product not working not running try changing capacitor also still not working dont buy go for cromption usha orient,0
useless product kettle wire is too short very difficult to use,0
must buy! nice product,2
"Quick answer, when do I put the bleach in the wash?? In the start or middle..  don`t laugh @ me..",1
fabulous! very nice,2
fair too much of water consumption in light mode also,0
" Unfortunately, I didn`t do it on purpose - itunes shuffle did it. It followed up with Dreadzone, so no life-ruin music-trauma.",0
fair ok,1
The cats are gone. All 3 of them.,0
Mexico City traffic  Beating the rush hour to make it to the Aeropuerto,1
good everything is nice but some scratches,2
excellent very nice product,2
Allies not coming over,1
" talk to me isn`t a good idea?  i`m going to buy a gift to my friend, so you have 20 mins...",1
best in the market! small and fast copying able to access through mobile otg also but not in all phones need more than 4gb ram mobile we can able to kept in pocket also,2
wonderful nice product,2
I think I juz missed my last bus  .. Need to walk home sia - http://tweet.sg,0
 i hear you.. it pisses me off haha,0
good for this price its a good product for beginners light weight strung is of good qualitybut its rubber grip is very bad it started coming out after a few matchesbut it was worth buying it at this cost,2
nice product suitable for any whether conditions,1
It`s teacher appreciation week - been out making deliveries to instructors this morning,1
not specified nice quality,2
wonderful this charger is good,2
slightly disappointed not good,0
expected a better product size is too small,1
pretty good thank for your timely dispach,2
"Having indian food in the middle of Wales, very very typical, huh?",1
don't waste your money bad product,0
Just wrote lyrics to my new song exciting!I slept on a full stomach again it`s the worst feeling waking up and still feeling full  euggh,0
 Ouchies. Sorry to hear it  Are you going to get it checked out?,0
waste of money! third class keyboard keys are worst not worth for money,0
 who will we make fun  of?!?!,1
brilliant best in this price,2
terrific excellent product provides complete thermal insulation inexpensive also overall it was a good deal,2
not recommended at all i purchased mi tv but struggling its installation jeeves very bad in service and the hired engineers are unprofessional if installation in the beginning is an issue they how they would honour the warranty after 23 years flipkart is also not helping and said to handle with jeeves myself its horrible,0
worth every penny excellent,2
just okay build quality is very poor on right hand side of the screen there is a noticeable gap between plastic frame and screen it feels like there is a black line on the screen,2
super! ok,1
good working great but wire quality not good or not long lasting product dont purchase,0
 you stop it,1
unsatisfactory doesnt work as expected doesnt feel that the air is cleaner even after running it for the entire night,0
 u wack put a swimsuit on and regular pants at least,1
unsatisfactory im not happy fipkart,0
could be way better average quality and poor packing,0
worthless do not buy if u are thinking to boil rice and other food it can do only water boiling,1
hated it! very worst consistentwaste money,0
just wow! best dslr canon eos 3000,2
nice just ok,1
worth the money nice,2
not specified niceee,2
"http://bit.ly/UnRyF  I want this, but...",1
 No dice...I searched it in the 'Help' area...just a problem some people have.  It would have been hot...oh well,1
just okay received the productsmell is averagenot a unique perfume,1
not specified material of white socks is thinner compared to the black socks,1
horrible thermal switch is not working,0
terrible product bad,0
 no I don`t mind Kent it`s just my best friend is going there and Im going to miss her,1
does the job good product,2
really nice very nice,2
delightful it looks great and the finishing is perfect but i have an issue of ear pain after using of 2 hrs i get little of ear pain and the super bass is good and the sound is too good worthy of buying dont think off buy it,2
Making a milo,1
worst experience ever! size will be small,1
useless product its not shock proof luckily i didnt put my hand instead checked with tester,0
unsatisfactory worst quality,0
don't waste your money the keyboard worked well for 5 months but then i had frequent problems with some keys this is unacceptable for the price paid whats the use of an aluminium body if you cant type,0
"googled mothers day, PHEW, US & UK have different dates! Learn something new every day",1
not specified osm product,2
not specified ok,1
worth the money just bought it havent used it yet,1
excellent good quality,2
expected a better product bad poudct,0
brilliant good but hitting problems,1
just okay its nice but cloth quality is not so good,0
don't waste your money did not receive the test card in which we put the nasal swab for result very unprofessional,0
bad quality poor quality,0
wonderful soft product but you need to fluff it daily to keep it soft,2
"so, why the hell are we going to school for 2 hours next monday and tuesday...dumb snow days and thier lame rules...my mom making me go",0
awesome goid,1
highly recommended good but thin page,1
nice i cant able to connect it with tv beside this everything is excellent,1
utterly disappointed not good,0
worth every penny lovely camera,2
great product products is very good but delivery time delivery partner very very bed i am reting for haf ster delivery partner time,1
  no FF tweet for me?,1
 p.s. There is such thing as having too much sushi! Bleeeeah!,1
The bunny is longing for the hoodie she left in the car   brrr....,1
highly recommended good,2
not good its a very low quality product,0
Im had to leave early to go to piccolo practice.,1
Rewarding myself with dinner at American Dream pizza on the rooftop terrace. Perfection  got 7 pages done on the prospectus!!,2
just wow! nice product,2
simply awesome performance45battery4display42design4build quality37in this price range there is no other laptop who can compete with this,0
just okay not upto the mark,1
good choice value for money water taste is good,2
just wow! nice product but little expensive,2
not recommended at all it is better than a speaker if you are looking for a speaker buy this one its not a headphone its a speaker,1
useless product keys not working,0
"Bed!!!!!... its time,..... hope i go to school tomorrow, all though i don`t feel very well right now",0
absolute rubbish! very lightweight ironing takes more time than usual,1
 I`ll try but silly silly tweetdeck being mean to me again,1
nice its all right,1
worst experience ever! bad bad quality,0
don't waste your money not working,0
terrible product not good,0
good choice product is good and installation though delayed but was good and and technician at the time of installation explained everything in detail,2
did not meet expectations bad quality waste of moneyvwry poor quality,0
delightful nice and perfect for beginners,2
super! give big thumbs up guys,1
 my music collection will be coming up to 250gb soon.  haha,1
good choice finally this is the good product i recieved,2
does the job it stop listening some times,1
best in the market! good performance good battery backup,2
perfect product! ok,1
value-for-money good product,1
not specified good product according to price and i got a mini wallet,2
worth the money good packaging dont really like the smell its too strong but my brother likes it so 4star,2
awesome nice product,2
did not meet expectations tv cast is not working properly its better to buy 500 rupees settop box rather than this one cheap quality,0
On a flight home  after an awesome trip with my cousin! Miss you sophia,1
fabulous! nice sirves,2
migraine and leg pain and woe ): should go to bed but it is 2 flights of stairs away. Happy mother`s day,1
says everyone was busy  http://plurk.com/p/rou4v,1
waste of money! bad product,0
slightly disappointed not much impressive,0
 Murphy`s Law?  Sorry that your computer is not cooperating when you have lots of work. My kids are .. http://tinyurl.com/km235x,0
nice performance is very poor,0
very good good product,2
Listening to dashboard confessional & counting down the days until the  concert on May 16th with ,1
is lonely in need of company,0
not specified very bad quality and no return policy,0
worst experience ever! bowls are too small and main plate also,1
awesome fantastic,2
worthless worest product,0
 haha i see im so bored rite now.. it seems like everyone is headin to vegas this weekend,1
super! vocals and instrumentals are clear and precise you cant expect bass especially with such a form factor all in all its a nice purchase,2
really nice good,2
Pretty  is it long or short? Sparkly or shiny? Lol,1
best in the market! 65 days,1
expected a better product because material is very poor and waste of money,0
value-for-money must buy for pain relief,1
perfect product! its a little pricey but this product is really good it picks up minute amounts of dust when you wipe the absorbency is excellent debris and particles wash off easily the sponge lasts a long time doesnt tear easily the product will stain and look dirtier over use a worthwhile purchase if you can get it on a discount or lightening deal,2
decent product ok with the product but sound was very low while speaking,0
could be way better not so goodjust average sound,1
nice product nice clock,2
not specified very soft cloth,1
highly recommended just aswom,2
expected a better product average quality,1
 Eeee! Hiya!  Haven`t spoken to you in ages! How you doing? *enormous hug*,1
utterly disappointed its a very bad quality product please dont buy if you buy you should waste your money,0
excellent best sound quality nice product,2
terrific superbiam present by my wifeshe was full happy thank youflipcartsinger brand,2
slightly disappointed 2 out of 3 mop pad elastic got torn away after using for 3 weeks only,0
simply awesome worth every penny spent its absolutely amazing and beautiful sound quality is good you have multiple options for music wonderful gift for music lovers thanks to team f ferons,2
just got the dreaded call from babysitter - little H has bumped her head  Sitter says she`s fine and goose egg is going down fast,0
excellent good product thankyou flipkart,2
is downloading new fonts . again  http://plurk.com/p/rplkr,1
 oh wow...hope he`s ok  u take him 2 the vet?,1
finally home for once after a dope **** week,1
mind-blowing purchase extraordinary device cant say much apple is empowerment,0
wonderful just go for it guys,2
i feel like taking a day off but cannot afford it  looking forward to the dfb cup final tmrw night though. go werder!!!,1
time to go to bed... and hopefully wake up to a better day  niiiiiiiights yall,2
gonna do laundry....never did laundry @ a hotel before.....I miss you R.....even though you ignore me and don even check on me....,0
very good gud product,2
"_idiots hahaha! I don`t work in a **** you know  alrighty mister, have YOU done any public may dancing today?",1
 But...but...I`m not!,1
super! performing as well as thought,2
terrific purchase perfect,2
 and he REALLY doesn`t like Shiny Happy People. I`m a local REM expert btw. Saw them for the first time in 1986.,0
good honestly otg is really good but the thing is i dont bake or grillnot good for reheating food i fill this would more useful for baker so make ur choice,1
does the job 100 not pure sine wave on product,2
 Did you know its Star Wars Day today... May the 4th be with you!,1
"*sigh* my  USB died on my this afternoon. R.I.P, you will be missed! I hadn`t even had the chance to parade you around yet",0
brilliant nice saund,2
fabulous! wowww it was super cool,2
American trade journalists ask PRs `how are you` almost 100% of the time; UK journalists? Erm...not so much   How come?,1
decent product i ordered it again and got only 14 light green n 18 dark green balloonshow dare to send less items in parcelother things are here but send same quantity which shown in the app,1
good quality product good,2
great product value of money,2
useless product i used one day the bat was damaged at handle part dont buy this product waste of moneythey didnt accept the return alsothis is my personal experience thanks,0
 woOt!,1
" yep,raced round it in cars and bikes,its only 40mins away,dont av much motorsport there now,its more planes n choppers now",1
wonderful good but wheels were some what like used ones,2
Update 100,1
not specified super,2
worst experience ever! its too thin,0
unsatisfactory bad quality,0
 internet billing with fee of 30% and only in 13 countries and a setup cost of 5000 for usa alone,1
fair its good,2
just okay avrege quality products,1
very good i have used just black once before ordering this set of tri colour and blackwhite the print quality is not so good but after refilling tri colour cartridge i found quality of blackwhite printouts in better quality colour print is quite decent not perfect but they seem to be okay economical when compared to original inks quality lacks though i think most of problem is because of suction tool i think an instruction manual with the product will be helpful packing can be better packi,1
"just woke up, and my tummy hurts  there`s always something wrong with me :S",0
worst experience ever! miracast is not working,0
 Go to main settings page for iPhone and scroll down - you will see it,1
decent product hitting issue,0
indian or the cowboy? actually considering going to the carnival,1
fabulous! nic proct best,2
waste of money! this is very bad product,0
nice product good,2
classy product very good quality and id value of money e highly recommended,2
not specified belt quality is poor,0
super! good working,2
value-for-money good,2
very good nice i liked it,2
Missy higgins kate voegele grace potter and the nocturnals,1
does the job average,1
terrible product worst product i bought in my life,0
i dreamt about monsters last night.  like a little girl.,1
fabulous! good,2
awesome amazing product,2
unsatisfactory nokia 6,0
decent product not long lasting,0
wonderful very nice working,2
did not meet expectations stopped working after usage of 2 months,0
decent product not veg i think,1
nice medium quality,1
" - Aww, yeah, dear Nicky  .",1
horrible product is damaged it is not working making fool to the customer loss my money cartridge is lost i m recommend to the customer pay extra money but buy from shop dont buy from flipkart i had ordered but i get damaged cartridge,0
wonderful ok,1
Watchin` JONAS,1
" Oh, I is dubbed Breesaholic Insomniac #2  *feels special* oh! must add third Angel drink to post",1
slightly disappointed not bought it,0
very poor adaptor not working purchased after 10 days very very bad quality and dont buy,0
good just ok,1
"sorry paul scheuring, but prison break series finale sucked... in so many levels",0
terrible product bad product,0
Watching some vintage topgear,1
Eww its gross here & a lady keeps looking at me weird  ha ha but another smiled & asked me if i was in their company..me in the army? LOL,1
super! really good,2
really nice good,2
not specified it is ok but too thin fabric its ok to wear it in summer you not fell so hot,1
good quality product its looking good but in the picture it looks like a big but the height is less than 2 feet it looks very compact in big room so make you use it in a small roomthe delivery actually delayed by three days thats why i have given 4 stars and fixed the next day of delivery so i was happy with thati bought it for 4700 so i think its a bargain,2
must buy! super,2
**** back home in tallcree (rez)  now i cant see my boyfriend,0
waste of money! to small tree west of money,0
nice ok ok on this price,1
wonderful once its fully charged then you can use it twice for fully charged your phone,0
really nice ok ok,1
not specified superb,2
hated it! product shown with very good quality but actually quality is very poor,0
No `rosie day` today  goal is to leav my house b4 my mom gets here hmmm maybe `rosie day` rescheduled for....wed......,1
very good good,2
WHAT DO YOU WANT FROM ME?!  I`m awake.,1
Got back and putting in the laundry. We got in there last  o well as long as its clean. #DSAA09,1
"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her",1
don't waste your money worst product very bad,0
pretty good delivery was too fast product is too good and easy to use but some little bit scratches on the table and some scratches are trying to hide by color its very easily able to see no i dont want exchange its fine,2
worst experience ever! proper not workingvery bad,0
not recommended at all very bad qualityi am very disappointed,0
useless product high price not worthy,0
just okay good material nice color didnt find window size,2
" awww, that sucks  But they`re so awesome when you get one, all squeeky and happy. I only have one left now though",1
don't waste your money worst very noise not fully grainedwaste product,0
great product quality of this product is very expensive but i recommend this product to those buyers who have only 3243 inches tvs,2
waste of money! very worst power bank minimum 1time charging in mobile phone 4200 mah low downing power bank,0
" I think they`re really good, so that probably damns them to obscurity.",2
"My nose is runny, my head is pounding, and teeth hurt like a ****. MAN. @-) I feel awful.  =((",0
worthless item not delivered but in app it is updated as delivered bad experience till now unable to resolve the issuecontacted multiple times unprofessional behaviour didnt expect this to happen had lot of difficult time following up,0
terrific purchase very good,2
wolverine was a bit short. waiting for cat to get dressed then off to York for the day,1
attempting to count the days till i return to canada...theres alot of them,1
 Thanks for the follow man,2
worst experience ever! not good i will not suggest anyone,0
 Yeah.,1
 Are we going to be able to buy more than 1 ticket online through livenation tomorrow? cant make it to LA,1
nice product simply loved it,2
"Beta 5 of 3.0 expired today, back on 2.2.1 until the public release. I miss it already",0
decent product osm,2
_r I can`t get one either because of the dog. I`m pretty sure the bunny wouldn`t survive a struggle with Tom,1
utterly disappointed very bad product please dont try,0
#Happy Mother`s Day euch allen,2
worst experience ever! very bad,0
 Wow! Some person u are!,2
My car broke down.   Time to start looking at getting another.  If its not one thing its another.,0
very poor use less,0
"_starr Yep, the Hawkesbury Classic starts at Windsor, home of said DJ",1
worth every penny super ball i liked this one very good ball this is a ball which is in a good budget,2
decent product i have heat issue of charger but not bad to use,1
best in the market! awesome product,2
good noisy compared to other fans and also just a weeks use the fan accumulated dust on the blades,2
waste of money! dont buy speed is okay but range is very badeven in small 500 sq ft 2 bhk it is not giving range and kt is placed in middle of home,0
classy product bicycle is superb and price is not expensive as per the product overall performance is concerned,2
nice product battery performing less 45 min on gaming,1
"17 things to do, the last thing on my mind is cleaning up everyone`s cake mess",0
going to sleep with my baby,1
wonderful value of money,2
not specified nice,2
good loudspeaker too much noise,1
very poor without router waist of money,0
i feel less than nothin`.. lower than zero..,0
excellent good,2
useless product 2 piece semi transparent night time no use of this screen,0
very good overall ok but dont expect high pictures quality on camera,0
very good very nice product original samsung charger,2
don't waste your money you selling a damage productyou didnt maintain your loyalty,0
Trying to find a foreign place in a foreign town  i have being lost,0
useless product too bad network frequency very low,0
" and he`s not even fat!!!! Huh, ? He`s just friggin huge!  I have a freak.",1
So.. finally finished setting up my  account. Will switch from  during this week,1
could be way better normal goods,1
useless product very poor quality seeds very very bed,0
"@ 102.7 KIIS-FM hey, I can`t seems to get ryan`s show online, what`s not right then?",1
Anyone want to buy me this anthropomorphic planter? http://tinyurl.com/m6sru3 Only available till the 31st,1
brilliant very nice product thank you flipkart,2
 omg wtf why is there a **** site following me?!,0
fair when i was charging my redmi note 8 in other 18w cahrger my mobile was showing fast charging but in this i cant find fast charging and even charging speed is slow,0
 they just said she was very elusive; should be tricky,0
moderate not good very cheap,0
nice not bad this items is very weak,0
not specified ok,1
worth the money nice,2
terrific purchase excellent,2
very good nice product,2
not good when electricity gone it make a blinkbut being a sine wave it shoud not do so,1
slightly disappointed this bad is bad spreads a lot and makes the eyes black,0
worth the money nice fan i am happy,2
check out q100 right now..99.7,1
did not meet expectations phone keeps hanging and reset to home screenbasic functionalities should work firmlydissatisfied,1
really nice ok,1
" here btw, this is not a bot",1
 I don`t like fishfingers. I don`t like fish or seafood really. But enjoy it,1
up way too early for a sunday.. watching old episodes of grey`s,1
 Hell if I know.  I`m suffering,0
nice not so good for base music,0
very good it is a good football i enjoyed to play with this football its quite heavy but good for those who are beginners,1
 oh.. tnx for following cass.,1
worst experience ever! worst producteven legs are not balanced very low quality productwaste of money,0
" Hey OJ, I just want to ask, you hooked up with somebody ayt now?",1
simply awesome nice,2
"Paving your own road is intelligent only if nobody has gone exactly where you are going, come follow me",1
 your in london?   are you doing any shows here?,1
has had the flu pass unto me by andy...went shopping and got fresh chicken for chicken soup...but no d&d this sat ...is a sad panda,0
worst experience ever! very horrible,0
useless product not worth money sound is very high grinder switched are not operable worst ever product,0
best in the market! god,2
super! i love it,2
waste of money! bad not a fast charger,0
hated it! worst product by kent its brand new water purifier where waste water from purifier is not stopping at alland one of useless engineer attended for installation creating a mess in kitchen while installingwas supposed to call same engineer very next day after installation for repair of continuos outlet of water waste waterhe replaced one small kind of 2 pin connector component and went without seeing whether working fine or notagain same result disappointed hence returning this,0
worth the money sound quality of speaker is good but bass is average battery backup is also good there is no remote provided with this speaker it would have been better if remote is provided which is easy to operate which is drawback in my opinion bluetooth connectivity and its range is superb overall i can say good product from zebronics,2
brilliant 1st review by me overall very good tabletdisplay and performance both are greatbut little bit costlyi will review again after 2 week,2
does the job nice cycle very smooth,1
very good useful,2
must buy! very good,2
horrible cannot i cannot i cannot with bicycle pump and they have mention that we can pump it with normal bicycle palm only it is fraud information,0
It`s  last Friday today,1
did not meet expectations within 1 week pipe automatically gets out comes out of connector water starts leaking from pipe as it is maine water pipe line due to this whole kitchen full with water and the electrical led installed in kitchen fused may it cause fire accident as all appliances were working and suddenly water starts leaking from pipe worst quality pipe used by bajaj,0
jus sittin in da libray and this stupid computer wont let me order any mac foundation,0
not good crek h chair,0
bad quality size and lenth so small,1
 i wont have time to buy  and i need a new binder pa,1
did not meet expectations dont wast ur money,0
great product good product,2
horrible verry bad product,0
fair 5 ghz signal comes only for 2 metres doesnt work inside rooms,0
highly recommended soo cute size is small but looking soo sooo soo cute im so happy thank u flipkart,2
absolute rubbish! not the best kitchen chimney not proper suction compar to exhaust fan i have again fitted the exhaust fan in the kitchen i am happy the exhaust fan system but kitchen chimney product only show show useless product wist of money ittem,0
moderate i ordered for a pack of 5 but the actual product has only 3 pieces,1
not specified wow good 4star,2
Its pouring and i have holes in my shoes,1
i wish it was summer,1
fabulous! packing was super quality awsome,2
mind-blowing purchase genuine product,1
 depressed that both of those are already out but yours isnt. I want your book!!,1
don't waste your money bad product,0
bad quality it is broken in many places wood quality is just worst dont buy it worthless product,0
horrible it not fixed properly,1
    What To Say?,1
pretty good excellent,2
bad quality one inside partition board out of three is damaged and one anchor is missing out of two,0
 she could have been a lost dog  poor girl,0
absolute rubbish! after 4months ctrl key is not working and they dont have warrenty so dont buy,0
"To make a long day short--I did nothing. =D well, I had some friends over they just left (3:55am) We have been drinking since 9.  Smashed",1
" Ironically, that thought goes through my head (no pun intended) for *every* headache I have...  Hope it goes away soon.",1
worth every penny very nice and useful product,2
"hey guys  we just wanted to announce a marathon! so, let`s just say...GET READY FOR A COUPLE EPISODES!",1
waste of money! useless,0
"Out with Bre, Jimmy, and Jon P?",1
don't waste your money not working,0
must buy! my first bluetooth headphone smiple awesome god good design sound quality and bass super battery capacity no words its been 2weeks since i put charge and battery percentage is 50 awesome capacity value for money recommended buy,2
just wow! very very good product,2
I think I killed my 6-mo old bromeliad. need a new pet plant.. or not.,0
highly recommended very nice and usefull product,2
utterly disappointed not good,0
fabulous! nyc,2
Where is Teng?,1
 part 2: social networking??.. there is even room for people,1
delightful good,2
worth every penny this product was very good,2
nice not strong,0
"sooooo, i just dropped my phone.  don`t text or tweet me, i`m currently banging my face against a spike covered poison ivy infested wall.",0
not recommended at all that product is workable only 1week,1
don't waste your money this is worth with this price but im not much satisfied due to performance of the tv sometimes the tv is restarting when we teying to connect other wifi network also if you switched on your tv then you need to wait for 2 to 3 mins to open its like a mobile device but in my view tv should be switched on when we turn on the tv we should not wait for more than 3 mins to see the picture wifi network is not refreshing if we turn any new wifi device screen mirroring is very worst playing li,0
pretty good fitting is perfect quality is superbbut i think it should be more comfortable,2
awesome nice kit,2
not recommended at all totaly waste of money its nt blanket look like bedsheet,0
mind-blowing purchase best in this segment so far thank you flipkart,2
value-for-money good quality nice sounddesign is good,2
decent product it is sturdy but very heavy for women otherwise it is really good men can do but for ladies it would be difficult to pull up the handle and to push down the handle otherwise product is good and strong,1
:  I`ve been!,1
mind-blowing purchase real good packagingand reasonable price,2
terrific purchase wonderful microwave oven there is no competetor for this ifb previously we used all kind of models of ovens but ifb is no1 there is no doubt at all after using 7 months no problem at all wonderful loving you the company like ifb making our lives so pleasent and happiness thank you once again ifb,2
absolute rubbish! not working,0
slightly disappointed not worth for money,0
I want my real keys back,1
best in the market! best one to buy but for wifi version sim version are not so value for money,0
excellent superb quality zandu balm,2
fabulous! this set perfume is awesome i love all its amazing fragrances also i love its packaging truly impressed,2
great product awesome but seat is not comfortable for long journey,2
absolute rubbish! worst table ever,0
just okay nice but small size,1
just okay its good same as shown in picture,1
expected a better product this product is not good,0
could be way better poco worrest issues r der,0
happy maders day,2
good quality product started to make weird noise after 6months of usage,0
nice received a dented product except this is a good choice,2
 over herrreeeee,1
worth the money ok,1
is feeling sad  I so dont do goodbye`z!!!!,0
_ more than youl ever no ! !! ! !!   ****,1
good choice rubber quality is not very good but also a good product,1
 lol i hope i find someone to give me one too! lol,1
Making pork stir-fry and brown rice for dinner.,1
